id;fecha;valor;fecha_pago
1;2020-05-25T11:01:33;66735;2020-05-24T15:39:00
2;2020-05-24T16:57:26;25896;2020-05-25T05:03:22
3;2020-05-24T22:41:45;17222;2020-05-25T01:55:34
4;2020-05-24T22:26:53;97186;2020-05-25T02:57:48
5;2020-05-24T17:10:31;26606;2020-05-25T00:40:29
6;2020-05-25T03:33:47;87056;2020-05-25T03:38:04
7;2020-05-25T03:16:43;23235;2020-05-24T16:52:03
8;2020-05-25T08:00:48;11237;2020-05-24T22:36:03
9;2020-05-24T19:38:28;67822;2020-05-24T16:48:26
10;2020-05-25T08:15:59;99908;2020-05-24T13:04:47
